Company_Name_1,Company_Name_2,Ground_Truth,Similarity,Prediction,Result
bulgarian air charter,bulgarian energy holding,0,0.0000,0,Match
euroafrica interconnector,euroasia interconnector,0,0.8946,1,Mismatch
universita' degli studi roma tre,universita' degli studi di roma la sapienza,0,0.9137,1,Mismatch
atlantic navigation holdings,north atlantic smaller companies,0,0.0000,0,Match
luks group (vietnam holdings) company ltd,vietnam holding ltd,0,0.0000,0,Match
steel city securities ltd,millcon steel public company ltd,0,0.5883,1,Mismatch
phoenix media investment,media investment optimization,0,0.0000,0,Match
telepass spa,telepassport telecommunications,0,0.0000,0,Match
s a ford construction limited,ford romania,0,0.0000,0,Match
maroc telecom sa,telecom egypt co,0,0.0000,0,Match
mcdonald,mott macdonald,0,0.0000,0,Match
sony music entertainment,sony music publishing (us) llc,1,0.0000,0,Mismatch
air india sats airport services,airports authority of india,0,0.0000,0,Match
bulgartabac,bulgari spa,1,0.8545,1,Match
big baboon,bad ass baboon group ltd,0,0.0000,0,Match
bad boy bullyz ltd,bad boy motorz ltd,0,0.8735,1,Mismatch
Bad Monkey Pictures,Bad Monkey Limited,0,0.0000,0,Match
amazon,amazon web services inc,1,0.8522,1,Match
maruti suzuki,suzuki motor gujarat,1,0.6472,0,Mismatch
hyundai motor,hyundai engineering and construction,1,0.6490,0,Mismatch
european residential real estate investment trust,schroder real estate investment trust limited,1,0.7940,0,Mismatch
unifirst corporation,unisys corporation,1,0.8545,1,Match
apple inc.,apple insurance & financial services,1,0.8300,1,Match
